Timestamp,Ultrasonic 1 (cm),Ultrasonic 2 (cm),Ultrasonic 3 (cm),Ultrasonic 4 (cm),Shock FR,Shock FL,Shock RR,Shock RL,Front Z_acc,Front Roll,Front Pitch,Rear Z_acc,Rear Roll,Rear Pitch,Latitude,Longitude
20:46:21,22.00,0.00,21.00,22.00,0,0,0,0,9.99,-1.57,0.62,9.98,-0.67,1.81,0.000000,0.000000
20:46:21,22.00,23.00,21.00,22.00,0,0,0,0,9.96,-1.25,0.80,9.99,-0.41,1.89,0.000000,0.000000
20:46:22,22.00,22.00,21.00,22.00,0,0,0,0,10.00,-1.18,0.74,10.03,-0.52,1.90,0.000000,0.000000
20:46:22,22.00,23.00,21.00,22.00,0,0,0,0,9.80,-1.53,0.62,9.94,-0.51,1.68,0.000000,0.000000
20:46:23,22.00,23.00,21.00,22.00,0,0,0,0,9.96,-1.42,0.61,10.25,-0.12,1.46,0.000000,0.000000
20:46:23,22.00,22.00,21.00,22.00,0,0,0,0,9.98,-1.25,0.73,10.01,-0.89,1.53,0.000000,0.000000
20:46:24,23.00,22.00,21.00,22.00,0,0,0,0,10.13,-1.58,0.62,10.06,0.10,1.66,0.000000,0.000000
20:46:24,22.00,23.00,21.00,22.00,0,0,0,0,9.94,-1.41,1.09,9.97,-0.69,2.06,0.000000,0.000000
20:46:25,22.00,22.00,21.00,22.00,0,0,0,0,10.02,-1.14,0.03,10.05,-0.53,1.09,0.000000,0.000000
20:46:25,23.00,23.00,21.00,22.00,0,0,0,0,9.95,-1.42,0.90,10.00,-0.70,1.78,0.000000,0.000000
20:46:26,22.00,23.00,21.00,22.00,0,0,0,0,9.95,-1.35,0.61,10.01,0.10,1.45,0.000000,0.000000
20:46:26,22.00,22.00,21.00,22.00,0,0,0,0,9.94,-1.23,0.97,9.96,-0.25,1.76,0.000000,0.000000
20:46:27,22.00,23.00,22.00,22.00,0,0,0,0,9.84,-1.59,0.54,9.93,-0.44,1.62,0.000000,0.000000
20:46:28,22.00,23.00,21.00,22.00,0,0,0,0,9.95,-1.82,0.52,9.91,-0.08,1.63,0.000000,0.000000
20:46:28,22.00,23.00,21.00,22.00,0,0,0,0,9.99,-1.30,0.65,9.97,-0.61,1.92,0.000000,0.000000
20:46:29,22.00,23.00,21.00,22.00,0,0,0,0,9.91,-1.29,0.64,9.97,-0.70,1.75,0.000000,0.000000
20:46:29,22.00,23.00,21.00,22.00,0,0,0,0,9.94,-1.49,0.79,9.98,-0.52,1.94,0.000000,0.000000
20:46:30,22.00,23.00,21.00,22.00,0,0,0,0,9.95,-1.43,0.57,9.98,-0.36,1.70,0.000000,0.000000
20:46:30,22.00,23.00,21.00,22.00,0,0,0,0,9.98,-1.29,0.63,9.98,-0.63,1.87,0.000000,0.000000
20:46:31,23.00,23.00,21.00,22.00,0,0,0,0,9.93,-1.59,0.46,9.92,-0.65,1.66,0.000000,0.000000
20:46:31,22.00,23.00,21.00,22.00,0,0,0,0,9.88,-1.26,0.76,10.00,-0.78,1.96,0.000000,0.000000
20:46:32,23.00,23.00,21.00,22.00,0,0,0,0,9.84,-1.49,0.96,10.00,-0.59,1.82,0.000000,0.000000
20:46:32,22.00,23.00,21.00,22.00,0,0,0,0,9.95,-1.39,0.54,9.95,-0.33,2.09,0.000000,0.000000
20:46:33,22.00,23.00,21.00,22.00,0,0,0,0,9.97,-1.31,0.66,9.91,-0.36,1.51,0.000000,0.000000
20:46:33,22.00,23.00,21.00,22.00,0,0,0,0,9.95,-1.39,0.84,9.95,-0.61,2.07,0.000000,0.000000
20:46:34,22.00,23.00,21.00,22.00,0,0,0,0,9.87,-1.13,0.71,9.99,-0.62,1.88,0.000000,0.000000
20:46:35,22.00,23.00,21.00,22.00,0,0,0,0,9.93,-1.31,0.86,9.95,-0.57,1.68,0.000000,0.000000
20:46:35,22.00,23.00,21.00,22.00,0,0,0,0,9.94,-1.42,0.59,9.97,-0.69,1.72,0.000000,0.000000
20:46:36,22.00,23.00,21.00,22.00,0,0,0,0,9.97,-1.16,0.55,9.97,-0.50,1.79,0.000000,0.000000
20:46:36,22.00,23.00,21.00,22.00,0,0,0,0,9.94,-1.61,0.52,10.00,-0.38,1.55,0.000000,0.000000
20:46:37,22.00,23.00,21.00,22.00,0,0,0,0,9.88,-1.47,0.74,9.93,-1.04,1.77,0.000000,0.000000
20:46:37,22.00,23.00,21.00,22.00,0,0,0,0,9.96,-1.40,0.55,9.96,-0.80,1.94,0.000000,0.000000
20:46:38,22.00,23.00,21.00,22.00,0,0,0,0,10.11,-1.23,0.52,10.05,-0.81,1.57,0.000000,0.000000
20:46:38,22.00,23.00,21.00,22.00,0,0,0,0,9.96,-1.63,0.96,9.95,-0.55,1.87,0.000000,0.000000
20:46:39,22.00,23.00,21.00,22.00,0,0,0,0,9.93,-1.12,0.43,9.99,-0.45,1.78,0.000000,0.000000
20:46:39,22.00,23.00,21.00,22.00,0,0,0,0,9.97,-1.35,0.69,9.81,-0.57,1.89,0.000000,0.000000
20:46:40,23.00,23.00,21.00,22.00,0,0,0,0,9.92,-1.13,0.43,10.01,-0.11,1.60,0.000000,0.000000
20:46:40,22.00,23.00,21.00,22.00,0,0,0,0,9.97,-1.06,0.48,9.94,-0.63,1.60,0.000000,0.000000
20:46:41,23.00,23.00,21.00,22.00,0,0,0,0,9.98,-1.37,0.55,9.96,-0.66,1.71,0.000000,0.000000
20:46:42,22.00,23.00,21.00,22.00,0,0,0,0,9.95,-1.54,0.91,9.93,-0.47,1.95,0.000000,0.000000
20:46:42,22.00,23.00,21.00,22.00,0,0,0,0,9.95,-1.09,0.76,10.01,-0.48,1.70,0.000000,0.000000
20:46:43,22.00,23.00,21.00,22.00,0,0,0,0,9.99,-1.47,0.67,10.28,-0.27,1.80,0.000000,0.000000
20:46:43,22.00,23.00,21.00,22.00,0,0,0,0,9.99,-1.40,0.74,10.02,-0.77,1.90,0.000000,0.000000
20:46:44,22.00,23.00,21.00,22.00,0,0,0,0,10.01,-1.49,0.56,9.94,-0.65,1.71,0.000000,0.000000
20:46:44,22.00,23.00,21.00,22.00,0,0,0,0,10.02,-1.31,0.75,9.96,-0.52,1.79,0.000000,0.000000
20:46:45,22.00,23.00,21.00,22.00,0,0,0,0,9.95,-1.36,0.45,9.96,-0.50,1.84,0.000000,0.000000
20:46:45,23.00,23.00,21.00,22.00,0,0,0,0,10.02,-1.46,0.62,9.95,-0.46,1.74,0.000000,0.000000
20:46:46,22.00,23.00,21.00,22.00,0,0,0,0,9.96,-1.23,0.73,10.00,-0.77,1.77,0.000000,0.000000
20:46:46,22.00,23.00,21.00,22.00,0,0,0,0,9.98,-1.14,0.66,10.01,-0.44,1.71,0.000000,0.000000
20:46:47,22.00,23.00,21.00,22.00,0,0,0,0,9.89,-1.34,0.51,9.98,-0.49,1.91,0.000000,0.000000
20:46:47,22.00,23.00,21.00,22.00,0,0,0,0,9.92,-1.16,0.76,9.93,-0.47,1.81,0.000000,0.000000
20:46:48,22.00,23.00,21.00,22.00,0,0,0,0,9.99,-1.41,0.59,9.96,-0.33,1.72,0.000000,0.000000
20:46:49,22.00,23.00,21.00,22.00,0,0,0,0,9.92,-1.66,0.62,9.98,-0.80,1.76,0.000000,0.000000
20:46:49,22.00,23.00,21.00,22.00,0,0,0,0,9.99,-1.46,0.74,10.02,-0.59,1.64,0.000000,0.000000
20:46:50,22.00,23.00,21.00,22.00,0,0,0,0,10.07,-1.46,0.90,9.98,-0.15,2.03,0.000000,0.000000
20:46:50,22.00,23.00,21.00,22.00,0,0,0,0,10.01,-1.15,0.62,10.03,-0.23,1.93,0.000000,0.000000
20:46:51,22.00,23.00,21.00,22.00,0,0,0,0,9.96,-1.09,0.69,9.97,-0.41,1.61,0.000000,0.000000
20:46:51,22.00,23.00,21.00,22.00,0,0,0,0,9.96,-1.53,0.73,9.99,-0.76,1.51,0.000000,0.000000
20:46:52,22.00,23.00,21.00,22.00,0,0,0,0,9.94,-1.35,0.79,10.01,-0.49,1.78,0.000000,0.000000
20:46:52,23.00,23.00,21.00,22.00,0,0,0,0,9.96,-1.36,0.73,9.97,-0.56,1.72,0.000000,0.000000
20:46:53,22.00,23.00,21.00,22.00,0,0,0,0,9.98,-1.46,0.48,9.87,-0.49,1.75,0.000000,0.000000
20:46:53,23.00,23.00,21.00,22.00,0,0,0,0,10.09,-0.94,0.45,9.96,-0.01,2.45,0.000000,0.000000
20:46:54,23.00,23.00,21.00,22.00,0,0,0,0,10.07,-1.38,0.12,10.07,-0.65,0.97,0.000000,0.000000
20:46:54,23.00,23.00,21.00,22.00,0,0,0,0,10.24,-2.45,-1.94,9.67,-0.27,-1.42,0.000000,0.000000
20:46:55,22.00,26.00,22.00,22.00,0,0,0,0,9.68,-2.97,-3.46,10.11,-2.21,-5.42,0.000000,0.000000
20:46:55,23.00,23.00,22.00,22.00,0,0,0,0,9.50,-4.35,-7.60,11.48,-0.06,4.09,0.000000,0.000000
20:46:56,23.00,23.00,22.00,22.00,0,0,0,1,4.68,-1.47,-36.46,13.52,2.82,-11.58,0.000000,0.000000
20:46:57,23.00,23.00,22.00,22.00,0,0,0,1,9.85,-2.39,3.14,9.22,-0.30,5.12,0.000000,0.000000
20:46:57,22.00,28.00,22.00,22.00,0,0,0,1,10.64,-3.03,-3.83,11.36,-0.79,1.29,0.000000,0.000000
20:46:58,22.00,25.00,22.00,22.00,1,0,0,1,10.59,-1.27,-4.61,10.26,-0.48,0.56,0.000000,0.000000
20:46:58,24.00,23.00,21.00,23.00,0,0,0,1,8.05,1.87,0.15,9.67,-1.29,-4.92,0.000000,0.000000
20:46:59,22.00,27.00,22.00,22.00,0,0,0,0,9.36,-6.22,-10.11,9.82,-1.61,-13.07,0.000000,0.000000
20:46:59,23.00,23.00,22.00,22.00,0,0,0,1,10.22,-2.92,0.20,10.13,-4.14,-1.62,0.000000,0.000000
20:47:00,23.00,28.00,22.00,22.00,0,0,0,0,9.91,-1.19,6.24,10.44,2.77,4.82,0.000000,0.000000
20:47:00,22.00,22.00,22.00,22.00,0,0,0,1,10.65,0.72,0.61,9.05,-0.62,2.82,0.000000,0.000000
20:47:01,22.00,28.00,22.00,22.00,0,0,0,0,8.27,-7.96,1.58,10.09,1.70,0.07,0.000000,0.000000
20:47:01,23.00,23.00,21.00,22.00,0,0,0,0,10.43,0.12,-4.15,9.80,0.42,-1.97,0.000000,0.000000
20:47:02,24.00,23.00,22.00,23.00,0,0,0,0,8.02,-12.53,-4.95,11.83,-3.44,0.10,0.000000,0.000000
20:47:02,24.00,23.00,21.00,22.00,0,0,0,1,6.95,4.92,3.63,10.05,1.38,2.00,0.000000,0.000000
20:47:03,23.00,23.00,22.00,22.00,0,0,0,1,9.95,-7.28,-0.85,12.17,0.96,0.87,0.000000,0.000000
20:47:04,23.00,23.00,22.00,23.00,0,0,0,0,8.67,0.43,-2.47,10.70,-0.92,0.87,0.000000,0.000000
20:47:04,23.00,23.00,23.00,23.00,1,0,0,0,9.66,-8.09,-1.27,9.21,-0.52,1.31,0.000000,0.000000
20:47:05,25.00,24.00,21.00,23.00,1,0,0,0,11.26,8.94,6.97,9.90,2.30,0.10,0.000000,0.000000
20:47:05,23.00,23.00,21.00,22.00,0,0,0,1,11.01,0.36,4.98,10.82,4.13,4.73,0.000000,0.000000
20:47:06,23.00,23.00,22.00,22.00,0,0,0,0,9.85,4.16,12.23,9.05,-3.62,12.19,0.000000,0.000000
20:47:06,22.00,23.00,21.00,21.00,0,0,0,0,12.52,-2.06,18.80,9.36,0.04,27.97,0.000000,0.000000
20:47:07,23.00,23.00,23.00,22.00,0,0,0,0,10.05,-1.32,0.53,9.90,-0.50,1.88,0.000000,0.000000
20:47:07,23.00,23.00,23.00,22.00,0,0,0,0,9.92,-1.12,0.93,10.04,-0.19,1.71,0.000000,0.000000
20:47:08,23.00,22.00,22.00,22.00,0,0,0,0,9.94,-1.37,0.14,9.96,0.50,1.29,0.000000,0.000000
20:47:08,23.00,22.00,22.00,22.00,0,0,0,0,10.01,-0.97,-0.55,10.05,-0.41,0.56,0.000000,0.000000
20:47:09,23.00,25.00,22.00,22.00,0,0,0,0,9.67,1.04,-10.81,12.35,0.92,-4.17,0.000000,0.000000
20:47:09,23.00,23.00,21.00,22.00,0,0,0,1,10.06,-3.66,-13.41,11.11,3.00,4.30,0.000000,0.000000
20:47:10,23.00,22.00,22.00,22.00,0,0,0,1,10.88,-11.98,0.96,10.92,-2.57,12.68,0.000000,0.000000
20:47:11,22.00,23.00,22.00,22.00,0,0,0,0,9.49,-2.79,8.10,9.58,-2.88,-5.98,0.000000,0.000000
20:47:11,23.00,24.00,22.00,22.00,1,0,0,1,9.45,-5.77,2.38,11.30,-0.10,2.38,0.000000,0.000000
20:47:12,23.00,27.00,22.00,22.00,0,0,0,1,9.03,-7.86,0.95,9.42,0.99,-8.59,0.000000,0.000000
20:47:12,23.00,23.00,22.00,23.00,0,0,0,1,10.34,0.58,-1.38,9.85,6.10,-6.66,0.000000,0.000000
20:47:13,23.00,25.00,22.00,22.00,0,0,0,1,12.08,0.61,2.82,8.73,0.22,0.38,0.000000,0.000000
20:47:13,23.00,23.00,22.00,23.00,0,0,0,1,10.26,-0.68,0.12,9.32,7.42,0.19,0.000000,0.000000
20:47:14,23.00,23.00,21.00,23.00,0,0,0,1,9.83,1.28,-0.25,8.90,1.26,-2.74,0.000000,0.000000
20:47:14,24.00,23.00,23.00,23.00,0,0,0,1,10.32,-2.98,-4.10,11.11,-1.15,1.01,0.000000,0.000000
20:47:15,23.00,22.00,22.00,23.00,0,0,0,1,8.59,-1.21,3.67,10.77,-1.20,-1.77,0.000000,0.000000
20:47:15,23.00,24.00,22.00,23.00,0,0,0,0,10.43,-4.01,-7.04,8.91,-3.32,-6.52,0.000000,0.000000
20:47:16,22.00,22.00,22.00,23.00,0,0,0,1,10.29,-3.86,0.11,7.66,5.39,-12.96,0.000000,0.000000
20:47:16,22.00,27.00,21.00,22.00,1,0,0,1,11.88,7.18,-5.28,9.67,3.75,5.74,0.000000,0.000000
20:47:17,23.00,22.00,22.00,22.00,0,0,0,0,9.41,-2.11,13.06,7.77,-9.21,4.97,0.000000,0.000000
20:47:17,23.00,23.00,22.00,23.00,0,0,0,0,10.12,-10.17,0.39,8.67,-5.93,7.70,0.000000,0.000000
20:47:18,27.00,25.00,23.00,22.00,0,0,0,0,9.14,-4.86,-0.13,13.75,0.00,-1.17,0.000000,0.000000
20:47:19,23.00,22.00,22.00,22.00,1,0,0,0,12.20,4.00,-3.19,8.41,-4.09,0.98,0.000000,0.000000
20:47:19,23.00,23.00,22.00,22.00,0,0,0,0,10.16,3.95,0.20,11.91,-3.63,2.76,0.000000,0.000000
20:47:20,23.00,23.00,22.00,22.00,0,0,0,0,12.84,-1.92,5.85,9.34,-0.44,8.07,0.000000,0.000000
20:47:20,23.00,22.00,22.00,22.00,0,0,0,0,13.47,-5.36,1.29,9.39,4.29,4.90,0.000000,0.000000
20:47:21,23.00,23.00,21.00,22.00,0,0,0,1,12.54,7.45,2.87,9.62,6.56,2.45,0.000000,0.000000
20:47:21,24.00,22.00,22.00,22.00,0,0,0,0,9.58,3.05,3.40,12.55,4.58,3.45,0.000000,0.000000
