Timestamp,Ultrasonic 1 (cm),Ultrasonic 2 (cm),Ultrasonic 3 (cm),Ultrasonic 4 (cm),Shock FR,Shock FL,Shock RR,Shock RL,Front Z_acc,Front Roll,Front Pitch,Rear Z_acc,Rear Roll,Rear Pitch,Latitude,Longitude
21:14:24,23.00,0.00,22.00,22.00,0,0,0,0,9.93,-0.51,-0.04,9.93,0.47,0.68,37.292773,126.977286
21:14:25,22.00,23.00,22.00,22.00,0,0,0,0,10.10,-0.57,-0.31,10.09,0.42,0.71,37.292773,126.977286
21:14:25,23.00,24.00,23.00,22.00,0,0,0,0,9.99,-0.33,-0.10,9.90,0.37,0.96,37.292773,126.977286
21:14:26,22.00,23.00,22.00,22.00,0,0,0,0,10.00,-0.33,-0.03,9.97,0.61,1.10,37.292773,126.977286
21:14:26,23.00,22.00,22.00,22.00,0,0,0,0,9.96,-0.59,-0.07,10.17,0.55,0.94,37.292773,126.977286
21:14:27,22.00,24.00,22.00,22.00,0,0,0,0,9.92,-0.39,-0.14,9.97,-0.04,0.85,37.292773,126.977286
21:14:27,23.00,22.00,22.00,22.00,0,0,0,0,10.00,-0.49,-0.36,10.37,0.95,0.93,37.292773,126.977286
21:14:28,23.00,23.00,22.00,22.00,0,0,0,0,9.99,-0.69,-1.84,9.94,-0.32,-0.51,37.292773,126.977286
21:14:28,23.00,23.00,22.00,23.00,0,0,0,0,9.90,-0.18,0.03,10.11,0.42,1.17,37.292773,126.977286
21:14:29,23.00,23.00,22.00,22.00,0,0,0,0,10.04,-0.52,-0.23,9.90,0.18,1.01,37.292773,126.977286
21:14:29,23.00,23.00,22.00,23.00,0,0,0,0,9.93,-0.55,0.26,9.99,0.23,1.11,37.292773,126.977286
21:14:30,23.00,23.00,22.00,23.00,0,0,0,0,10.00,-0.49,-0.11,10.03,0.38,1.29,37.292773,126.977286
21:14:31,22.00,22.00,22.00,23.00,0,0,0,0,9.93,-0.12,0.01,10.02,0.25,1.14,37.292773,126.977286
21:14:31,23.00,23.00,22.00,23.00,0,0,0,0,9.99,-0.33,0.03,9.99,0.43,0.99,37.292773,126.977286
21:14:32,23.00,24.00,22.00,23.00,0,0,0,0,9.94,-0.26,-0.33,9.99,0.04,0.98,37.292773,126.977286
21:14:32,22.00,22.00,22.00,23.00,0,0,0,0,9.95,-0.28,-0.07,9.96,0.25,0.87,37.292773,126.977286
